table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,
,2020,2021,2022
Colorado,"5,784,865","5,811,297","5,839,926"
".Adams County, Colorado","520,479","523,592","527,575"
".Alamosa County, Colorado","16,377","16,563","16,592"
".Arapahoe County, Colorado","655,207","656,557","655,808"
".Archuleta County, Colorado","13,425","13,798","14,003"
".Baca County, Colorado","3,482","3,487","3,432"
".Bent County, Colorado","5,478","5,337","5,399"
".Boulder County, Colorado","330,922","327,075","327,468"
".Broomfield County, Colorado","74,484","75,375","76,121"
".Chaffee County, Colorado","19,477","19,711","20,223"
".Cheyenne County, Colorado","1,744","1,716","1,732"
".Clear Creek County, Colorado","9,393","9,445","9,355"
".Conejos County, Colorado","7,458","7,578","7,579"
".Costilla County, Colorado","3,501","3,595","3,603"
".Crowley County, Colorado","5,694","5,731","5,614"
".Custer County, Colorado","4,719","5,064","5,335"
".Delta County, Colorado","31,051","31,383","31,602"
".Denver County, Colorado","717,556","711,323","713,252"
".Dolores County, Colorado","2,332","2,370","2,455"
".Douglas County, Colorado","360,303","369,825","375,988"
".Eagle County, Colorado","55,665","55,773","55,285"
".Elbert County, Colorado","26,207","27,133","27,799"
".El Paso County, Colorado","732,342","737,228","740,567"
".Fremont County, Colorado","48,878","49,234","49,621"
".Garfield County, Colorado","61,792","62,195","62,271"
".Gilpin County, Colorado","5,824","5,899","5,891"
".Grand County, Colorado","15,748","15,870","15,769"
".Gunnison County, Colorado","16,945","17,309","17,267"
".Hinsdale County, Colorado",788,773,775
".Huerfano County, Colorado","6,827","6,922","7,082"
".Jackson County, Colorado","1,378","1,357","1,302"
".Jefferson County, Colorado","583,050","580,926","576,143"
".Kiowa County, Colorado","1,452","1,446","1,424"
".Kit Carson County, Colorado","7,066","6,936","6,961"
".Lake County, Colorado","7,404","7,397","7,327"
".La Plata County, Colorado","55,675","56,187","56,607"
".Larimer County, Colorado","359,899","362,713","366,778"
".Las Animas County, Colorado","14,482","14,318","14,327"
".Lincoln County, Colorado","5,665","5,477","5,510"
".Logan County, Colorado","21,204","21,122","20,823"
".Mesa County, Colorado","156,005","157,434","158,636"
".Mineral County, Colorado",871,929,931
".Moffat County, Colorado","13,264","13,155","13,177"
".Montezuma County, Colorado","25,883","26,216","26,468"
".Montrose County, Colorado","42,817","43,230","43,811"
".Morgan County, Colorado","29,072","28,995","29,239"
".Otero County, Colorado","18,667","18,536","18,303"
".Ouray County, Colorado","4,881","5,059","5,100"
".Park County, Colorado","17,419","17,758","17,939"
".Phillips County, Colorado","4,531","4,508","4,449"
".Pitkin County, Colorado","17,354","17,350","16,876"
".Prowers County, Colorado","12,010","11,994","11,854"
".Pueblo County, Colorado","168,325","169,332","169,544"
".Rio Blanco County, Colorado","6,524","6,453","6,569"
".Rio Grande County, Colorado","11,538","11,388","11,325"
".Routt County, Colorado","24,829","25,056","25,007"
".Saguache County, Colorado","6,393","6,505","6,623"
".San Juan County, Colorado",710,740,803
".San Miguel County, Colorado","8,054","8,074","8,003"
".Sedgwick County, Colorado","2,390","2,331","2,295"
".Summit County, Colorado","30,994","30,971","30,565"
".Teller County, Colorado","24,747","24,939","24,857"
".Washington County, Colorado","4,808","4,850","4,812"
".Weld County, Colorado","331,427","339,811","350,176"
".Yuma County, Colorado","9,979","9,943","9,899"
